values,label
-75364.31041858421,D2_3
-69902.97314512079,D2_3
-173258.3742783578,D2_3
-163462.74478608376,D2_3
-158845.55848050266,D2_3
-80858.86575386277,D2_3
-45594.41307925733,D2_3
-200110.94417899786,D2_3
-44865.96516925151,D2_3
-111327.10489703952,Q_2
-109540.48543128626,Q_2
-37722.83867070126,Q_2
-41440.12899965607,Q_2
-46449.328020546076,Q_2
-73302.25207123731,Q_2
-59643.31590546727,Q_2
-122661.93668654781,Q_2
-109089.26342504608,Q_2
