values,label
-124989.28191199797,D3_2
-63460.421165965956,D3_2
-68138.44217878669,D3_2
-68236.60692438277,D3_2
-170623.60415670133,D3_2
-81176.34633998726,D3_2
-101874.51984981546,D3_2
-153218.66375175372,D3_2
-97454.12067411547,D3_2
-125934.02784579237,Q_4
-174785.21441699108,Q_4
-77694.82425969231,Q_4
-83553.19463428983,Q_4
-161793.66213406366,Q_4
-71546.65624959057,Q_4
-85027.94216155434,Q_4
-110255.60673109326,Q_4
-74235.6739196708,Q_4
