values,label
-30658.491085161786,D4_1
-58123.266516017764,D4_1
-98091.66194005166,D4_1
-119529.81151809217,D4_1
-64267.830096178535,D4_1
-110217.48417805818,D4_1
-94398.69550069247,D4_1
-66363.57977812932,D4_1
-30686.832607594126,D4_1
-138356.22718049164,Q_2
-116541.07222899703,Q_2
-40385.510524686644,Q_2
-44361.799174536754,Q_2
-49174.03332347332,Q_2
-74866.96784484775,Q_2
-62015.27150221466,Q_2
-129989.71487595819,Q_2
-112410.68814464775,Q_2
