values,label
-106837.65640704193,D3_1
-51465.101647664276,D3_1
-61178.597059190164,D3_1
-51104.305078099875,D3_1
-74911.34541626446,D3_1
-52404.217921586634,D3_1
-100003.50342485614,D3_1
-98871.17573967659,D3_1
-76799.50382850107,D3_1
-92030.98433192307,Q_3
-93992.1133914192,Q_3
-92204.53485754848,Q_3
-195379.6574617992,Q_3
-93738.41716616065,Q_3
-125996.66887620439,Q_3
-154400.3812320258,Q_3
-96667.29669531692,Q_3
-182633.08183958795,Q_3
