values,label
-124078.62020106884,D2_2
-30692.581671799577,D2_2
-111041.99451392516,D2_2
-52086.77206849062,D2_2
-133268.68476788214,D2_2
-65268.79515446524,D2_2
-108018.10391148798,D2_2
-79141.6105511674,D2_2
-31429.767547137162,D2_2
-174362.15353147703,Q_4
-159436.2672542411,Q_4
-69124.38812018814,Q_4
-78333.74693264747,Q_4
-145703.85610395402,Q_4
-50845.90400529052,Q_4
-74740.97395509802,Q_4
-121915.74256077055,Q_4
-53087.326971509916,Q_4
