values,label
-59712.976790798224,D4_2
-148191.09180651585,D4_2
-166829.20104389102,D4_2
-159190.49386073332,D4_2
-152284.95993992712,D4_2
-84161.88690542942,D4_2
-59891.590894640896,D4_2
-84295.19557586031,D4_2
-56392.50524878154,D4_2
-121458.3147929254,Q_1
-38532.12572384972,Q_1
-37748.36414943426,Q_1
-75335.3964396914,Q_1
-86378.2206245324,Q_1
-38348.906782673024,Q_1
-63752.798592645544,Q_1
-127007.2692332914,Q_1
-46656.20608525964,Q_1
